,broadcasts_num,creation_year,followers,following,highlights_num,in_partnership,language,mature,name,teams,views,type
420,858,2012,73183,2,912,True,en,False,sslseries,0,49122626,channel
421,472,2012,48696,0,736,True,en,False,d2l,2,48865547,channel
422,481,2013,115401,3,71,True,pt,False,maxarenatv2,0,48732359,channel
423,44,2011,248197,315,2296,True,en,True,lethalfrag,0,48593581,person
424,10,2016,284831,182,337,True,en,False,epicenter_en1,1,46137640,channel
425,304,2013,52413,1,978,True,en,False,wcs_america,3,43206593,channel
426,122,2017,237132,17,683,True,fr,False,solary,1,44411364,person
427,596,2013,155123,27,17,True,fr,False,hearthstonefr,4,42033380,channel
428,62,2012,284249,0,321,True,en,False,evo,3,41993766,channel
429,138,2018,193625,1,0,True,ko,False,lck_korea,0,46782516,channel
430,55,2010,76623,253,6171,True,zh,False,wayne379,2,41187790,person
431,42,2012,181648,12,62,True,en,False,saintvicious,1,40754552,person
432,162,2013,50944,1,494,True,en,False,wcs_europe,3,40183435,channel
433,107,2011,55254,9,81,True,en,False,angrytestie,0,39993590,person
434,246,2012,140056,0,0,True,ko,False,ogn_lol,2,39556656,channel
435,685,2011,29402,1,1114,True,en,True,onemoregametv,1,39513128,channel
436,156,2014,80052,18,41,True,fr,False,ogamingsc2,1,39434381,channel
437,60,2011,253416,48,84,True,en,True,wagamamatv,1,39095948,channel
438,5,2013,289529,71,677,True,en,False,roomonfire,3,38849196,person
439,43,2011,136674,0,618,True,zh,False,underground_dv,0,38909023,person
440,21,2013,30075,0,2792,True,it,False,multiplayerit,0,39485283,person
441,3,2012,91065,7,242,True,en,False,curse,0,38436099,channel
442,432,2013,203204,11,5,True,en,False,machinima,0,38127528,person
443,1079,2012,128315,3,1590,True,en,False,beyondthesummit2,5,37961626,channel
444,65,2010,273565,30,232,True,en,False,seriousgaming,1,37692395,person
445,954,2016,164019,13,331,True,fr,False,armatvhs,0,38157412,person
446,265,2013,262542,4,914,True,en,False,starcraft,0,37567751,channel
447,535,2012,148760,3,222,True,en,False,esl_dota2,5,36751377,channel
448,143,2011,76333,3,211,True,en,False,dreamhacksc2,1,36472312,channel
449,407,2012,60224,2,454,True,en,False,thegdstudio,2,35654577,channel
450,85,2012,177230,23,295,True,pl,True,rockalone,2,36176114,person
451,27,2011,47442,43,38,True,en,True,Slowpoke101,3,35509879,person
452,47,2014,10206,25,48,True,ru,False,chokoba,0,34991272,person
453,7,2012,290017,28,3437,True,zh,False,mistakelolz,1,34960890,person
454,19,2011,189926,0,213,True,sv,False,fragbite,1,34800132,channel
455,38,2013,260365,39,758,True,ru,False,gnumme,1,34973493,person
456,63,2013,212059,461,146,True,en,False,athenelive,2,34404076,person
457,201,2012,95324,4,328,True,en,False,pax,2,34296704,channel
458,997,2011,259342,9,221,True,pl,False,esl_csgo_pl,7,34331177,channel
459,200,2017,98564,8,735,True,ko,False,playoverwatch_kr,1,33824998,channel
460,1808,2012,201821,31,114,True,en,True,xbox,1,32866027,channel
461,102,2008,158248,972,854,True,en,True,spamfish,0,32888673,person
462,65,2013,214153,62,330,True,ru,False,c_a_k_e,2,33145466,person
463,13,2009,259493,0,23,True,zh,True,sixwong,2,31601026,person
464,73,2010,127475,60,87,True,zh,False,uzra,0,32088003,person
465,79,2011,258851,93,63,True,en,False,cdewx,1,31562643,person
466,40,2016,232607,0,1284,True,ru,False,csruhub,2,32732658,channel
467,67,2008,48930,1857,1730,True,en,False,thegreatgq,8,30956441,person
468,157,2012,45979,9,291,True,ru,False,gohamedia,0,31246257,person
469,36,2011,78670,187,537,True,en,True,supermcgamer,4,30735732,person
470,129,2012,106948,13,550,True,en,False,therainman,0,30664520,person
471,60,2011,87786,8,2,True,en,False,dragon,0,30540860,person
472,2,2010,82047,210,39,True,en,False,moonmeander,0,30279122,person
473,67,2012,116990,136,6539,True,en,True,basetradetv,1,30538856,channel
474,3500,2012,83089,25,527,True,fr,False,ogamingtv,1,30258919,channel
475,71,2009,36710,1,3573,True,en,False,daopa,1,29662790,person
476,54,2012,217313,10,98,True,ru,False,rxnexus,0,29679538,person
477,527,2013,178233,6,494,True,es,False,riotlan,1,29259242,channel
478,70,2016,95201,1,1344,True,pt,False,beyondthesummit_pt,1,28624685,channel
479,970,2011,222566,25,285,True,pt,False,esl_brazil,4,28979191,channel
480,86,2015,125869,0,271,True,en,False,pgl_dota2,2,28400381,channel
481,7,2011,263301,63,20,True,en,False,alexich,2,27991246,person
482,49,2011,245363,709,706,True,en,False,elajjaz,4,28256656,person
483,66,2011,163813,100,639,True,zh,False,a541021,1,27801822,person
484,15,2012,61272,31,49,False,en,True,applejacked,0,27361397,person
485,150,2011,49230,1,110,True,en,True,protech,0,27200328,person
486,22,2010,71303,12,3,True,en,False,liquidtlo,1,27061651,person
487,57,2014,75232,9,8,True,de,False,bonjwa,0,27545624,person
488,82,2010,74896,77,421,True,en,True,rootcatz,2,26981712,person
489,2624,2011,203686,83,1320,True,en,True,lagtvmaximusblack,1,26967508,person
490,68,2011,119845,27,49,True,en,False,draskyl,1,26990261,person
491,1,2015,17880,45,0,True,fr,False,connectesport,2,26710633,person
492,105,2018,79056,3,1377,True,ko,False,overwatchleague_kr,2,26649183,channel
493,1036,2011,93876,40,3123,True,en,False,mineskitv,2,26645193,channel
494,61,2011,215433,242,8,True,en,True,sjow,1,26871243,person
495,91,2016,100415,61,164,True,zh,False,kyo1984123,0,27147978,person
496,49,2015,203751,193,107,True,ko,True,yapyap30,1,27484305,person
497,99,2013,192882,73,54,True,sk,False,resttpowered,0,26787446,person
498,14,2008,35653,43,1397,True,en,False,thespeedgamers,1,26715286,person
499,33,2011,114175,58,2240,True,en,False,sheevergaming,2,26075195,person
500,54,2011,224276,101,79,True,ru,True,melharucos,1,26294506,person
501,59,2011,294214,19,59,True,en,True,vinesauce,2,25752037,person
502,21,2016,166610,8,301,True,ru,False,epicenter_ru,1,26362751,channel
503,26,2014,94521,4,1874,True,ru,False,riotgamesru,1,26221489,channel
504,772,2015,137296,2,1654,True,ru,False,dota2ruhub2,2,25713244,channel
505,42,2012,202201,36,2401,True,zh,False,wtf_winds123,1,25741367,person
506,984,2011,147235,1,3066,True,de,False,99damage,4,25576943,person
507,63,2018,69438,13,2,True,en,False,nba2kleague,0,25152614,channel
508,61,2013,248004,37,27,True,fr,True,sardoche,0,25496853,person
509,18,2011,168893,3,1450,True,en,False,purgegamers,2,25094543,person
510,24,2012,135418,121,461,True,en,False,wickd,0,24933117,person
511,1602,2011,102724,3,3107,True,es,False,esl_spain,5,24773574,channel
512,1199,2014,10640,66,1509,True,ja,False,maruhashi084,2,24905678,person
513,51,2013,201661,10,0,True,ru,False,followkudes,0,24682595,person
514,9,2012,151405,18,42,True,en,False,xpecial,0,24350843,person
515,489,2011,173505,6,258,True,en,False,esl_overwatch,6,24190505,channel
516,59,2012,176707,49,440,True,en,False,sloot,5,24446704,person
